カ変	基本形	くる	クル	クル
カ変	未然形	こ	コ	コ
カ変	意志推量形	こよう	コヨウ	コヨー
カ変	意志推量-短形	こよ	コヨ	コヨ
カ変	意志推量-促音	こよっ	コヨッ	コヨッ
カ変	連用形	き	キ	キ
カ変	仮定形	くれ	クレ	クレ
カ変	仮定特殊	これ	コレ	コレ
カ変	命令ｙｏ	こよ	コヨ	コヨ
カ変	命令ｉ	こい	コイ	コイ
カ変	仮定縮約１	くりゃ	クリャ	クリャ
カ変	仮定縮約１-長音	くりゃあ	クリャア	クリャー
カ変	体言接続特殊	くん	クン	クン
カ変	体言接続特殊２	く	ク	ク
サ変・スル	基本形	する	スル	スル
サ変・スル	文語基本形	す	ス	ス
サ変・スル	未然形	し	シ	シ
サ変・スル	意志推量形	しよう	シヨウ	シヨー
サ変・スル	意志推量-短形	しよ	シヨ	シヨ
サ変・スル	意志推量-促音	しよっ	シヨッ	シヨッ
サ変・スル	未然レル接続	さ	サ	サ
サ変・スル	未然ヌ接続	せ	セ	セ
サ変・スル	連用形	し	シ	シ
サ変・スル	仮定形	すれ	スレ	スレ
サ変・スル	命令ｙｏ	せよ	セヨ	セヨ
サ変・スル	命令ｒｏ	しろ	シロ	シロ
サ変・スル	命令ｉ	せい	セイ	セイ
サ変・スル	仮定縮約１	すりゃ	スリャ	スリャ
サ変・スル	仮定縮約１-長音	すりゃあ	スリャア	スリャー
サ変・スル	体言接続特殊	すん	スン	スン
サ変・スル	体言接続特殊２	す	ス	ス
サ変・−スル	基本形	する	スル	スル
サ変・−スル	文語基本形	す	ス	ス
サ変・−スル	未然形	し	シ	シ
サ変・−スル	連用形	し	シ	シ
サ変・−スル	意志推量形	しよう	シヨウ	シヨー
サ変・−スル	意志推量-短形	しよ	シヨ	シヨ
サ変・−スル	意志推量-促音	しよっ	シヨッ	シヨッ
サ変・−スル	未然レル接続	せ	セ	セ
サ変・−スル	未然ヌ接続	せ	セ	セ
サ変・−スル	仮定形	すれ	スレ	スレ
サ変・−スル	命令ｙｏ	せよ	セヨ	セヨ
サ変・−スル	仮定縮約１	すりゃ	スリャ	スリャ
サ変・−スル	仮定縮約１-長音	すりゃあ	スリャア	スリャー
サ変・−ズル	基本形	ずる	ズル	ズル
サ変・−ズル	文語基本形	ず	ズ	ズ
サ変・−ズル	未然形	ぜ	ゼ	ゼ
サ変・−ズル	意志推量形	ぜよう	ゼヨウ	ゼヨー
サ変・−ズル	未然レル接続	ぜ	ゼ	ゼ
サ変・−スル	未然ヌ接続	ぜ	ゼ	ゼ
サ変・−ズル	仮定形	ずれ	ズレ	ズレ
サ変・−ズル	命令ｙｏ	ぜよ	ゼヨ	ゼヨ
サ変・−ズル	仮定縮約１	ずりゃ	ズリャ	ズリャ
サ変・−ズル	仮定縮約１-長音	ずりゃあ	ズリャア	ズリャー
一段	基本形	る	ル	ル
一段	未然形	*	*	*
一段	意志推量形	よう	ヨウ	ヨー
一段	意志推量-短形	よ	ヨ	ヨ
一段	意志推量-促音	よっ	ヨッ	ヨッ
一段	連用形	*	*	*
一段	仮定形	れ	レ	レ
一段	命令ｙｏ	よ	ヨ	ヨ
一段	命令ｒｏ	ろ	ロ	ロ
一段	仮定縮約１	りゃ	リャ	リャ
一段	仮定縮約１-長音	りゃあ	リャア	リャー
一段	体言接続特殊	ん	ン	ン
一段	体言接続特殊２	*	*	*
一段・病メル	基本形	る	ル	ル
五段・カ行イ音便	基本形	く	ク	ク
五段・カ行イ音便	未然形	か	カ	カ
五段・カ行イ音便	意志推量形	こう	コウ	コー
五段・カ行イ音便	意志推量-短形	こ	コ	コ
五段・カ行イ音便	意志推量-促音	こっ	コッ	コッ
五段・カ行イ音便	連用形	き	キ	キ
五段・カ行イ音便	連用タ接続	い	イ	イ
五段・カ行イ音便	仮定形	け	ケ	ケ
五段・カ行イ音便	命令ｅ	け	ケ	ケ
五段・カ行イ音便	仮定縮約１	きゃ	キャ	キャ
五段・カ行イ音便	仮定縮約１-長音	きゃあ	キャア	キャー
五段・カ行促音便	基本形	く	ク	ク
五段・カ行促音便	未然形	か	カ	カ
五段・カ行促音便	意志推量形	こう	コウ	コー
五段・カ行促音便	意志推量-短形	こ	コ	コ
五段・カ行促音便	意志推量-促音	こっ	コッ	コッ
五段・カ行促音便	連用形	き	キ	キ
五段・カ行促音便	連用タ接続	っ	ッ	ッ
五段・カ行促音便	仮定形	け	ケ	ケ
五段・カ行促音便	命令ｅ	け	ケ	ケ
五段・カ行促音便	仮定縮約１	きゃ	キャ	キャ
五段・カ行促音便	仮定縮約１-長音	きゃあ	キャア	キャー
五段・カ行促音便ユク	基本形	く	ク	ク
五段・カ行促音便ユク	未然形	か	カ	カ
五段・カ行促音便ユク	意志推量形	こう	コウ	コー
五段・カ行促音便ユク	意志推量-短形	こ	コ	コ
五段・カ行促音便ユク	意志推量-促音	こっ	コッ	コッ
五段・カ行促音便ユク	連用形	き	キ	キ
五段・カ行促音便ユク	仮定形	け	ケ	ケ
五段・カ行促音便ユク	命令ｅ	け	ケ	ケ
五段・カ行促音便ユク	仮定縮約１	きゃ	キャ	キャ
五段・カ行促音便ユク	仮定縮約１-長音	きゃあ	キャア	キャー
五段・ガ行	基本形	ぐ	グ	グ
五段・ガ行	未然形	が	ガ	ガ
五段・ガ行	意志推量形	ごう	ゴウ	ゴー
五段・ガ行	意志推量-短形	ご	ゴ	ゴ
五段・ガ行	意志推量-促音	ごっ	ゴッ	ゴッ
五段・ガ行	連用形	ぎ	ギ	ギ
五段・ガ行	連用タ接続	い	イ	イ
五段・ガ行	仮定形	げ	ゲ	ゲ
五段・ガ行	命令ｅ	げ	ゲ	ゲ
五段・ガ行	仮定縮約１	ぎゃ	ギャ	ギャ
五段・ガ行	仮定縮約１-長音	ぎゃあ	ギャア	ギャー
五段・サ行	基本形	す	ス	ス
五段・サ行	未然形	さ	サ	サ
五段・サ行	意志推量形	そう	ソウ	ソー
五段・サ行	意志推量-短形	そ	ソ	ソ
五段・サ行	意志推量-促音	そっ	ソッ	ソッ
五段・サ行	連用形	し	シ	シ
五段・サ行	仮定形	せ	セ	セ
五段・サ行	命令ｅ	せ	セ	セ
五段・サ行	仮定縮約１	しゃ	シャ	シャ
五段・サ行	仮定縮約１-長音	しゃあ	シャア	シャー
五段・タ行	基本形	つ	ツ	ツ
五段・タ行	未然形	た	タ	タ
五段・タ行	意志推量形	とう	トウ	トー
五段・タ行	意志推量-短形	と	ト	ト
五段・タ行	意志推量-促音	とっ	トッ	トッ
五段・タ行	連用形	ち	チ	チ
五段・タ行	連用タ接続	っ	ッ	ッ
五段・タ行	仮定形	て	テ	テ
五段・タ行	命令ｅ	て	テ	テ
五段・タ行	仮定縮約１	ちゃ	チャ	チャ
五段・タ行	仮定縮約１-長音	ちゃあ	チャア	チャー
五段・ナ行	基本形	ぬ	ヌ	ヌ
五段・ナ行	未然形	な	ナ	ナ
五段・ナ行	意志推量形	のう	ノウ	ノー
五段・ナ行	意志推量-短形	の	ノ	ノ
五段・ナ行	意志推量-促音	のっ	ノッ	ノッ
五段・ナ行	連用形	に	ニ	ニ
五段・ナ行	連用タ接続	ん	ン	ン
五段・ナ行	仮定形	ね	ネ	ネ
五段・ナ行	命令ｅ	ね	ネ	ネ
五段・ナ行	仮定縮約１	にゃ	ニャ	ニャ
五段・ナ行	仮定縮約１-長音	にゃあ	ニャア	ニャー
五段・バ行	基本形	ぶ	ブ	ブ
五段・バ行	未然形	ば	バ	バ
五段・バ行	意志推量形	ぼう	ボウ	ボー
五段・バ行	意志推量-短形	ぼ	ボ	ボ
五段・バ行	意志推量-促音	ぼっ	ボッ	ボッ
五段・バ行	連用形	び	ビ	ビ
五段・バ行	連用タ接続	ん	ン	ン
五段・バ行	仮定形	べ	ベ	ベ
五段・バ行	命令ｅ	べ	ベ	ベ
五段・バ行	仮定縮約１	びゃ	ビャ	ビャ
五段・バ行	仮定縮約１-長音	びゃあ	ビャア	ビャー
五段・マ行	基本形	む	ム	ム
五段・マ行	未然形	ま	マ	マ
五段・マ行	意志推量形	もう	モウ	モー
五段・マ行	意志推量-短形	も	モ	モ
五段・マ行	意志推量-促音	もっ	モッ	モッ
五段・マ行	連用形	み	ミ	ミ
五段・マ行	連用タ接続	ん	ン	ン
五段・マ行	仮定形	め	メ	メ
五段・マ行	命令ｅ	め	メ	メ
五段・マ行	仮定縮約１	みゃ	ミャ	ミャ
五段・マ行	仮定縮約１-長音	みゃあ	ミャア	ミャー
五段・ラ行	基本形	る	ル	ル
五段・ラ行	未然形	ら	ラ	ラ
五段・ラ行	未然特殊	ん	ン	ン
五段・ラ行	意志推量形	ろう	ロウ	ロー
五段・ラ行	意志推量-短形	ろ	ロ	ロ
五段・ラ行	意志推量-促音	ろっ	ロッ	ロッ
五段・ラ行	連用形	り	リ	リ
五段・ラ行	連用タ接続	っ	ッ	ッ
五段・ラ行	仮定形	れ	レ	レ
五段・ラ行	命令ｅ	れ	レ	レ
五段・ラ行	仮定縮約１	りゃ	リャ	リャ
五段・ラ行	仮定縮約１-長音	りゃあ	リャア	リャー
五段・ラ行	体言接続特殊	ん	ン	ン
五段・ラ行	体言接続特殊２	*	*	*
五段・ラ行アル	基本形	る	ル	ル
五段・ラ行アル	未然形	ら	ラ	ラ
五段・ラ行アル	意志推量形	ろう	ロウ	ロー
五段・ラ行アル	意志推量-短形	ろ	ロ	ロ
五段・ラ行アル	意志推量-促音	ろっ	ロッ	ロッ
五段・ラ行アル	連用形	り	リ	リ
五段・ラ行アル	連用タ接続	っ	ッ	ッ
五段・ラ行アル	仮定形	れ	レ	レ
五段・ラ行アル	命令ｅ	れ	レ	レ
五段・ラ行アル	仮定縮約１	りゃ	リャ	リャ
五段・ラ行アル	仮定縮約１-長音	りゃあ	リャア	リャー
五段・ラ行アル	体言接続特殊	ん	ン	ン
五段・ラ行特殊	基本形	る	ル	ル
五段・ラ行特殊	未然形	ら	ラ	ラ
五段・ラ行特殊	未然特殊	ん	ン	ン
五段・ラ行特殊	意志推量形	ろう	ロウ	ロー
五段・ラ行特殊	意志推量-短形	ろ	ロ	ロ
五段・ラ行特殊	意志推量-促音	ろっ	ロッ	ロッ
五段・ラ行特殊	連用形	い	イ	イ
五段・ラ行特殊	非音便連用形	り	リ	リ
五段・ラ行特殊	連用タ接続	っ	ッ	ッ
五段・ラ行特殊	仮定形	れ	レ	レ
五段・ラ行特殊	命令ｅ	れ	レ	レ
五段・ラ行特殊	命令ｉ	い	イ	イ
五段・ラ行特殊	仮定縮約１	りゃ	リャ	リャ
五段・ラ行特殊	仮定縮約１-長音	りゃあ	リャア	リャー
五段・ワ行ウ音便	基本形	う	ウ	ウ
五段・ワ行ウ音便	未然形	わ	ワ	ワ
五段・ワ行ウ音便	意志推量形	おう	オウ	オー
五段・ワ行ウ音便	意志推量-短形	お	オ	オ
五段・ワ行ウ音便	意志推量-促音	おっ	オッ	オッ
五段・ワ行ウ音便	連用形	い	イ	イ
五段・ワ行ウ音便	連用タ接続	う	ウ	ー
五段・ワ行ウ音便	仮定形	え	エ	エ
五段・ワ行ウ音便	命令ｅ	え	エ	エ
五段・ワ行促音便	基本形	う	ウ	ウ
五段・ワ行促音便	未然形	わ	ワ	ワ
五段・ワ行促音便	意志推量形	おう	オウ	オー
五段・ワ行促音便	意志推量-短形	お	オ	オ
五段・ワ行促音便	意志推量-促音	おっ	オッ	オッ
五段・ワ行促音便	連用形	い	イ	イ
五段・ワ行促音便	連用タ接続	っ	ッ	ッ
五段・ワ行促音便	仮定形	え	エ	エ
五段・ワ行促音便	命令ｅ	え	エ	エ
四段・カ行	基本形	く	ク	ク
四段・カ行	未然形	か	カ	カ
四段・カ行	連用形	き	キ	キ
四段・カ行	仮定形	け	ケ	ケ
四段・カ行	命令ｅ	け	ケ	ケ
四段・ガ行	基本形	ぐ	グ	グ
四段・ガ行	未然形	が	ガ	ガ
四段・ガ行	連用形	ぎ	ギ	ギ
四段・ガ行	仮定形	げ	ゲ	ゲ
四段・ガ行	命令ｅ	げ	ゲ	ゲ
四段・サ行	基本形	す	ス	ス
四段・サ行	未然形	さ	サ	サ
四段・サ行	連用形	し	シ	シ
四段・サ行	仮定形	せ	セ	セ
四段・サ行	命令ｅ	せ	セ	セ
四段・タ行	基本形	つ	ツ	ツ
四段・タ行	未然形	た	タ	タ
四段・タ行	連用形	ち	チ	チ
四段・タ行	仮定形	て	テ	テ
四段・タ行	命令ｅ	て	テ	テ
四段・バ行	基本形	ぶ	ブ	ブ
四段・バ行	未然形	ば	バ	バ
四段・バ行	連用形	び	ビ	ビ
四段・バ行	仮定形	べ	ベ	ベ
四段・バ行	命令ｅ	べ	ベ	ベ
四段・マ行	基本形	む	ム	ム
四段・マ行	未然形	ま	マ	マ
四段・マ行	連用形	み	ミ	ミ
四段・マ行	仮定形	め	メ	メ
四段・マ行	命令ｅ	め	メ	メ
四段・ラ行	基本形	る	ル	ル
四段・ラ行	未然形	ら	ラ	ラ
四段・ラ行	連用形	り	リ	リ
四段・ラ行	仮定形	れ	レ	レ
四段・ラ行	命令ｅ	れ	レ	レ
四段・ハ行	基本形	ふ	フ	フ
四段・ハ行	未然形	は	ハ	ハ
四段・ハ行	連用形	ひ	ヒ	ヒ
四段・ハ行	仮定形	へ	ヘ	ヘ
四段・ハ行	命令ｅ	へ	ヘ	ヘ
ラ変	基本形	り	リ	リ
ラ変	未然形	ら	ラ	ラ
ラ変	連用形	り	リ	リ
ラ変	体言接続	る	ル	ル
ラ変	仮定形	れ	レ	レ
ラ変	命令ｅ	れ	レ	レ
上二・ダ行	基本形	づ	ヅ	ヅ
上二・ダ行	現代基本形	ず	ズ	ズ
上二・ダ行	未然形	ぢ	ヂ	ヂ
上二・ダ行	連用形	ぢ	ヂ	ヂ
上二・ダ行	体言接続	づる	ヅル	ヅル
上二・ダ行	仮定形	づれ	ヅレ	ヅレ
上二・ダ行	命令ｙｏ	ぢよ	ヂヨ	ヂヨ
上二・ハ行	基本形	ふ	フ	フ
上二・ハ行	未然形	ひ	ヒ	ヒ
上二・ハ行	連用形	ひ	ヒ	ヒ
上二・ハ行	体言接続	ふる	フル	フル
上二・ハ行	仮定形	ふれ	フレ	フレ
上二・ハ行	命令ｙｏ	ひよ	ヒヨ	ヒヨ
下二・ア行	基本形	う	ウ	ウ
下二・ア行	未然形	え	エ	エ
下二・ア行	連用形	え	エ	エ
下二・ア行	体言接続	うる	ウル	ウル
下二・ア行	仮定形	うれ	ウレ	ウレ
